País,ano,quantidade,valor_usd,produto,tipo
Bélgica,2019,0,0,Espumantes,Importação
Bélgica,2020,0,0,Espumantes,Importação
Bélgica,2021,0,0,Espumantes,Importação
Bélgica,2022,0,0,Espumantes,Importação
Bélgica,2023,0,0,Espumantes,Importação
Brasil,1970,0,0,Espumantes,Importação
Brasil,1971,0,0,Espumantes,Importação
Brasil,1972,0,0,Espumantes,Importação
Brasil,1973,0,0,Espumantes,Importação
Brasil,1974,0,0,Espumantes,Importação
Brasil,1975,0,0,Espumantes,Importação
Brasil,1976,0,0,Espumantes,Importação
Brasil,1977,0,0,Espumantes,Importação
Brasil,1978,0,0,Espumantes,Importação
Brasil,1979,0,0,Espumantes,Importação
Brasil,1980,0,0,Espumantes,Importação
Brasil,1981,0,0,Espumantes,Importação
Brasil,1982,0,0,Espumantes,Importação
Brasil,1983,0,0,Espumantes,Importação
Brasil,1984,0,0,Espumantes,Importação
Brasil,1985,0,0,Espumantes,Importação
Brasil,1986,0,0,Espumantes,Importação
Brasil,1987,0,0,Espumantes,Importação
Brasil,1988,0,0,Espumantes,Importação
Brasil,1989,0,0,Espumantes,Importação
Brasil,1990,0,0,Espumantes,Importação
Brasil,1991,0,0,Espumantes,Importação
Brasil,1992,0,0,Espumantes,Importação
Brasil,1993,0,0,Espumantes,Importação
Brasil,1994,0,0,Espumantes,Importação
Brasil,1995,0,0,Espumantes,Importação
Brasil,1996,0,0,Espumantes,Importação
Brasil,1997,0,0,Espumantes,Importação
Brasil,1998,0,0,Espumantes,Importação
Brasil,1999,0,0,Espumantes,Importação
Brasil,2000,0,0,Espumantes,Importação
Brasil,2001,0,0,Espumantes,Importação
Brasil,2002,0,0,Espumantes,Importação
Brasil,2003,0,0,Espumantes,Importação
Brasil,2004,5357,17451,Espumantes,Importação
Brasil,2005,9801,33151,Espumantes,Importação
Brasil,2006,16225,63088,Espumantes,Importação
Brasil,2007,4092,22079,Espumantes,Importação
Brasil,2008,1072,7645,Espumantes,Importação
Brasil,2009,0,0,Espumantes,Importação
Brasil,2010,468,62570,Espumantes,Importação
Brasil,2011,6210,52984,Espumantes,Importação
Brasil,2012,60601,313190,Espumantes,Importação
Brasil,2013,10195,44337,Espumantes,Importação
Brasil,2014,8606,37228,Espumantes,Importação
Brasil,2015,6383,47936,Espumantes,Importação
Brasil,2016,1014,4936,Espumantes,Importação
Brasil,2017,6166,180512,Espumantes,Importação
Brasil,2018,566215,162992,Espumantes,Importação
Brasil,2019,15464,238268,Espumantes,Importação
Brasil,2020,3491,106310,Espumantes,Importação
Brasil,2021,548,3488,Espumantes,Importação
Brasil,2022,0,0,Espumantes,Importação
Brasil,2023,7,184,Espumantes,Importação
Bulgária,1970,0,0,Espumantes,Importação
Bulgária,1971,0,0,Espumantes,Importação
Bulgária,1972,0,0,Espumantes,Importação
Bulgária,1973,0,0,Espumantes,Importação
Bulgária,1974,0,0,Espumantes,Importação
Bulgária,1975,0,0,Espumantes,Importação
Bulgária,1976,0,0,Espumantes,Importação
Bulgária,1977,0,0,Espumantes,Importação
Bulgária,1978,0,0,Espumantes,Importação
Bulgária,1979,0,0,Espumantes,Importação
Bulgária,1980,0,0,Espumantes,Importação
Bulgária,1981,0,0,Espumantes,Importação
Bulgária,1982,0,0,Espumantes,Importação
Bulgária,1983,0,0,Espumantes,Importação
Bulgária,1984,0,0,Espumantes,Importação
Bulgária,1985,0,0,Espumantes,Importação
Bulgária,1986,0,0,Espumantes,Importação
Bulgária,1987,0,0,Espumantes,Importação
Bulgária,1988,0,0,Espumantes,Importação
Bulgária,1989,0,0,Espumantes,Importação
Bulgária,1990,0,0,Espumantes,Importação
Bulgária,1991,0,0,Espumantes,Importação
Bulgária,1992,0,0,Espumantes,Importação
Bulgária,1993,0,0,Espumantes,Importação
Bulgária,1994,0,0,Espumantes,Importação
Bulgária,1995,0,0,Espumantes,Importação
Bulgária,1996,0,0,Espumantes,Importação
Bulgária,1997,0,0,Espumantes,Importação
Bulgária,1998,0,0,Espumantes,Importação
Bulgária,1999,0,0,Espumantes,Importação
Bulgária,2000,0,0,Espumantes,Importação
Bulgária,2001,0,0,Espumantes,Importação
Bulgária,2002,0,0,Espumantes,Importação
Bulgária,2003,0,0,Espumantes,Importação
Bulgária,2004,0,0,Espumantes,Importação
Bulgária,2005,0,0,Espumantes,Importação
Bulgária,2006,0,0,Espumantes,Importação
Bulgária,2007,0,0,Espumantes,Importação
Bulgária,2008,0,0,Espumantes,Importação
Bulgária,2009,0,0,Espumantes,Importação
Bulgária,2010,0,0,Espumantes,Importação
Bulgária,2011,0,0,Espumantes,Importação
Bulgária,2012,0,0,Espumantes,Importação
Bulgária,2013,0,0,Espumantes,Importação
Bulgária,2014,222,546,Espumantes,Importação
Bulgária,2015,4,7,Espumantes,Importação
Bulgária,2016,0,0,Espumantes,Importação
Bulgária,2017,3,716,Espumantes,Importação
Bulgária,2018,0,0,Espumantes,Importação
Bulgária,2019,0,0,Espumantes,Importação
Bulgária,2020,0,0,Espumantes,Importação
Bulgária,2021,0,0,Espumantes,Importação
Bulgária,2022,976,1535,Espumantes,Importação
Bulgária,2023,0,0,Espumantes,Importação
Canada,1970,0,0,Espumantes,Importação
Canada,1971,0,0,Espumantes,Importação
Canada,1972,0,0,Espumantes,Importação
Canada,1973,0,0,Espumantes,Importação
Canada,1974,0,0,Espumantes,Importação
Canada,1975,0,0,Espumantes,Importação
Canada,1976,0,0,Espumantes,Importação
Canada,1977,0,0,Espumantes,Importação
Canada,1978,0,0,Espumantes,Importação
Canada,1979,0,0,Espumantes,Importação
Canada,1980,0,0,Espumantes,Importação
Canada,1981,0,0,Espumantes,Importação
Canada,1982,0,0,Espumantes,Importação
Canada,1983,0,0,Espumantes,Importação
Canada,1984,0,0,Espumantes,Importação
Canada,1985,0,0,Espumantes,Importação
Canada,1986,0,0,Espumantes,Importação
Canada,1987,0,0,Espumantes,Importação
Canada,1988,0,0,Espumantes,Importação
Canada,1989,0,0,Espumantes,Importação
Canada,1990,0,0,Espumantes,Importação
Canada,1991,0,0,Espumantes,Importação
Canada,1992,0,0,Espumantes,Importação
Canada,1993,0,0,Espumantes,Importação
Canada,1994,0,0,Espumantes,Importação
Canada,1995,0,0,Espumantes,Importação
Canada,1996,0,0,Espumantes,Importação
Canada,1997,0,0,Espumantes,Importação
Canada,1998,0,0,Espumantes,Importação
Canada,1999,0,0,Espumantes,Importação
Canada,2000,0,0,Espumantes,Importação
Canada,2001,0,0,Espumantes,Importação
Canada,2002,0,0,Espumantes,Importação
Canada,2003,0,0,Espumantes,Importação
Canada,2004,0,0,Espumantes,Importação
Canada,2005,0,0,Espumantes,Importação
Canada,2006,0,0,Espumantes,Importação
Canada,2007,0,0,Espumantes,Importação
Canada,2008,0,0,Espumantes,Importação
Canada,2009,0,0,Espumantes,Importação
Canada,2010,0,0,Espumantes,Importação
Canada,2011,0,0,Espumantes,Importação
Canada,2012,0,0,Espumantes,Importação
Canada,2013,0,0,Espumantes,Importação
Canada,2014,0,0,Espumantes,Importação
Canada,2015,0,0,Espumantes,Importação
Canada,2016,0,0,Espumantes,Importação
Canada,2017,0,0,Espumantes,Importação
